Pos.,Team,Ht.,Wt.,Last Name,First Name,ID,Abbreviation,Conference,Division
WR,Dolphins,5-7,172,Grant,Jakeem,17.0,MIA,AFC,East
WR,Eagles,5-10,193,Turner,Paul,24.0,PHI,NFC,East
WR,Seahawks,6-6,230,McEvoy,Tanner,28.0,SEA,NFC,West
WR,Rams,6-2,197,McRoberts,Paul,29.0,LAR,NFC,West
WR,Bears,6-1,200,Davis,Titus,6.0,CHI,NFC,North
WR,Chiefs,6-3,207,Dieter,Gehrig,16.0,KC,AFC,West
WR,Chiefs,6-2,225,Jones,Tevin,16.0,KC,AFC,West
WR,Bears,6-3,207,Meredith,Cameron,6.0,CHI,NFC,North
WR,Cardinals,5-9,155,Hubert,Chris,1.0,ARI,NFC,West
WR,Chiefs,6-3,200,Jones,Seantavius,16.0,KC,AFC,West
WR,Eagles,6-3,212,Matthews,Jordan,24.0,PHI,NFC,East
WR,Chiefs,6-2,185,Moore,Alonzo,16.0,KC,AFC,West
WR,Saints,5-11,195,Snead,"IV, Willie",20.0,NO,NFC,South
WR,49ers,6-1,212,Johnson,"III, BJ",27.0,SF,NFC,West
WR,Jaguars,6-1,194,Cole,Keelan,15.0,JAX,AFC,South
WR,Jets,5-10,177,Foxx,Deshon,22.0,NYJ,AFC,East
WR,Rams,6-1,210,Spruce,Nelson,29.0,LAR,NFC,West
WR,Giants,5-10,194,Shepard,Sterling,21.0,NYG,NFC,East
WR,Saints,5-7,168,Lewis,Tommylee,20.0,NO,NFC,South
WR,Commanders,5-11,185,Jacobs,Levern,,,,
WR,Bills,5-11,190,Brown,Philly,4.0,BUF,AFC,East
WR,Texans,6-1,215,Hopkins,DeAndre,13.0,HOU,AFC,South
WR,Dolphins,6-0,195,Stills,Kenny,17.0,MIA,AFC,East
WR,Steelers,6-4,211,Bryant,Martavis,25.0,PIT,AFC,North
WR,49ers,5-9,197,Ellington,Bruce,27.0,SF,NFC,West
WR,Seahawks,6-0,183,Richardson,Paul,28.0,SEA,NFC,West
WR,Commanders,6-2,196,Thompson,Kendal,,,,
WR,Browns,6-1,209,Leslie,Jordan,8.0,CLE,AFC,North
WR,Jaguars,6-0,196,Lee,Marqise,15.0,JAX,AFC,South
WR,Chargers,6-2,217,Davis,Geremy,26.0,LAC,AFC,West
WR,Browns,6-1,201,Wright,James,8.0,CLE,AFC,North
WR,Cowboys,5-9,180,Whitehead,Lucky,9.0,DAL,NFC,East
WR,Chargers,6-2,211,Allen,Keenan,26.0,LAC,AFC,West
WR,Falcons,5-10,192,Hardy,Justin,2.0,ATL,NFC,South
WR,Cardinals,5-10,160,Nelson,J.J.,1.0,ARI,NFC,West
WR,Browns,5-8,177,Alford,Mario,8.0,CLE,AFC,North
WR,Buccaneers,5-11,206,Huff,Josh,30.0,TB,NFC,South
WR,Commanders,6-1,195,Hazel,Matt,,,,
WR,Ravens,6-2,228,Mayle,Vince,3.0,BAL,AFC,North
WR,Broncos,6-1,212,Fowler,"III, Bennie",10.0,DEN,AFC,West
WR,Raiders,6-0,190,Holton,Johnny,23.0,LV,AFC,West
WR,Chargers,6-4,205,Williams,Tyrell,26.0,LAC,AFC,West
WR,Buccaneers,6-0,195,Martino,Freddie,30.0,TB,NFC,South
WR,Patriots,6-0,192,White,DeAndrew,19.0,NE,AFC,East
WR,Titans,5-11,190,Krause,Jonathan,31.0,TEN,AFC,South
WR,Rams,6-0,193,Woods,Robert,29.0,LAR,NFC,West
WR,Jaguars,6-0,196,Pinkard,Larry,15.0,JAX,AFC,South
WR,49ers,6-2,227,Smelter,DeAndre,27.0,SF,NFC,West
WR,Buccaneers,5-9,175,Reedy,Bernard,30.0,TB,NFC,South
WR,Bills,6-0,189,Powell,Walter,4.0,BUF,AFC,East
WR,Falcons,5-11,170,Magee,Josh,2.0,ATL,NFC,South
WR,Jets,6-2,225,Enunwa,Quincy,22.0,NYJ,AFC,East
WR,Chargers,6-0,199,Brown,Da'Ron,26.0,LAC,AFC,West
WR,Panthers,5-10,195,Clay,Kaelin,5.0,CAR,NFC,South
WR,Cardinals,6-3,205,Dobson,Aaron,1.0,ARI,NFC,West
WR,Bengals,6-4,206,Kumerow,Jake,7.0,CIN,AFC,North
WR,Giants,6-0,190,Snead,Kevin,21.0,NYG,NFC,East
WR,Ravens,6-1,197,Bell,Kenny,3.0,BAL,AFC,North
