Pos.,Team,Ht.,Wt.,First Name,Last Name,ID,Abbreviation,Conference,Division
TE,Commanders,6-2,246,Reed,Jordan,,,,
TE,Bears,6-4,271,Sims,Dion,6.0,CHI,NFC,North
TE,Chiefs,6-6,260,Escobar,Gavin,16.0,KC,AFC,West
TE,49ers,6-4,267,McDonald,Vance,27.0,SF,NFC,West
TE,Commanders,6-4,244,Carrier,Derek,,,,
TE,Dolphins,6-4,255,Gray,MarQueis,17.0,MIA,AFC,East
TE,Cardinals,6-7,255,Momah,Ifeanyi,1.0,ARI,NFC,West
TE,Vikings,6-6,265,Rudolph,Kyle,18.0,MIN,NFC,North
TE,Seahawks,6-5,252,Willson,Luke,28.0,SEA,NFC,West
TE,Patriots,6-3,265,Allen,Dwayne,19.0,NE,AFC,East
TE,Cowboys,6-4,260,Hanna,James,9.0,DAL,NFC,East
TE,Texans,6-6,265,Griffin,Ryan,13.0,HOU,AFC,South
TE,Colts,6-6,267,Doyle,Jack,14.0,IND,AFC,South
TE,Commanders,6-1,242,Paul,Niles,,,,
TE,Vikings,6-7,252,Truesdell,Nick,18.0,MIN,NFC,North
TE,Dolphins,6-5,254,Pantale,Chris,17.0,MIA,AFC,East
TE,Chiefs,6-5,260,Kelce,Travis,16.0,KC,AFC,West
TE,Texans,6-4,250,Allen,RaShaun,13.0,HOU,AFC,South
TE,Titans,6-5,248,Supernaw,Phillip,31.0,TEN,AFC,South
TE,Saints,6-5,250,Hill,Josh,20.0,NO,NFC,South
TE,Panthers,6-6,260,Wallace,Eric,5.0,CAR,NFC,South
TE,Saints,6-6,251,Fleener,Coby,20.0,NO,NFC,South
TE,Raiders,6-3,240,Helfet,Cooper,23.0,LV,AFC,West
TE,Cardinals,6-5,260,Gresham,Jermaine,1.0,ARI,NFC,West
TE,Saints,6-4,265,Hoomanawanui,Michael,20.0,NO,NFC,South
TE,Bills,6-3,255,Clay,Charles,4.0,BUF,AFC,East
TE,Broncos,6-5,255,Green,Virgil,10.0,DEN,AFC,West
TE,Giants,6-5,250,Ellison,Rhett,21.0,NYG,NFC,East
TE,Patriots,6-6,265,Gronkowski,Rob,19.0,NE,AFC,East
TE,Buccaneers,6-6,253,Stocker,Luke,30.0,TB,NFC,South
TE,Dolphins,6-5,256,Thomas,Julius,17.0,MIA,AFC,East
TE,Steelers,6-2,260,Johnson,David,25.0,PIT,AFC,North
TE,Panthers,6-4,255,Dickson,Ed,5.0,CAR,NFC,South
TE,Packers,6-3,250,Kendricks,Lance,12.0,GB,NFC,North
TE,Chargers,6-5,259,McGrath,Sean,26.0,LAC,AFC,West
TE,Colts,6-3,247,Williams,Brandon,14.0,IND,AFC,South
TE,Saints,6-5,251,Phillips,John,20.0,NO,NFC,South
TE,Raiders,6-6,265,Smith,Lee,23.0,LV,AFC,West
TE,49ers,6-5,252,Celek,Garrett,27.0,SF,NFC,West
TE,Packers,6-6,275,Bennett,Martellus,12.0,GB,NFC,North
TE,49ers,6-5,268,Paulsen,Logan,27.0,SF,NFC,West
TE,Raiders,6-5,254,Cook,Jared,23.0,LV,AFC,West
TE,Chargers,6-4,260,Cumberland,Jeff,26.0,LAC,AFC,West
TE,Seahawks,6-7,265,Graham,Jimmy,28.0,SEA,NFC,West
TE,Lions,6-7,318,Fells,Darren,11.0,DET,NFC,North
TE,Titans,6-2,248,Walker,Delanie,31.0,TEN,AFC,South
TE,Bears,6-5,243,Miller,Zach,6.0,CHI,NFC,North
TE,Eagles,6-4,255,Celek,Brent,24.0,PHI,NFC,East
TE,Panthers,6-5,255,Olsen,Greg,5.0,CAR,NFC,South
TE,Dolphins,6-4,255,Fasano,Anthony,17.0,MIA,AFC,East
TE,Commanders,6-3,244,Davis,Vernon,,,,
TE,Jaguars,6-6,280,Lewis,Marcedes,15.0,JAX,AFC,South
TE,Cowboys,6-6,263,Witten,Jason,9.0,DAL,NFC,East
TE,Ravens,6-3,251,Watson,Benjamin,3.0,BAL,AFC,North
TE,Chargers,6-4,255,Gates,Antonio,26.0,LAC,AFC,West
