First Name,Last Name,Position,Height,Weight,Arms,Hands,Team,Conference,Division
Tanner,McKee,QB,6-6,230.0,33,9 1/2,Philadelphia Eagles,NFC,East
Tanner,Mordecai,QB,6-2,218.0,,,San Francisco 49ers,NFC,NFC
Taylor,Heinicke,QB,6-1,210.0,,,Los Angeles Chargers,AFC,West
Teddy,Bridgewater,QB,6-2,212.0,33,9 1/4,Detroit Lions,NFC,North
Tim,Boyle,QB,6-4,232.0,,,Miami Dolphins,AFC,East
Tim,Boyle,QB,6-4,232.0,,,New York Giants,NFC,East
Tommy,DeVito,QB,6-2,210.0,,,New York Giants,NFC,East
Trevor,Lawrence,QB,6-6,220.0,31 1/2,10,Jacksonville Jaguars,AFC,South
Trevor,Siemian,QB,6-3,220.0,,,Tennessee Titans,AFC,South
Trey,Lance,QB,6-4,226.0,31 1/2,9 1/4,Dallas Cowboys,NFC,East
Tua,Tagovailoa,QB,6-1,225.0,30 1/2,10,Miami Dolphins,AFC,East
Tyler,Huntley,QB,6-1,204.0,,,Baltimore Ravens,AFC,North
Tyler,Huntley,QB,6-1,204.0,,,Miami Dolphins,AFC,East
Tyrod,Taylor,QB,6-1,217.0,32 1/4,10,New York Jets,AFC,East
Tyson,Bagent,QB,6-3,213.0,30 1/4,9 1/2,Chicago Bears,NFC,North
Will,Grier,QB,6-1,220.0,31 1/2,9 1/2,Dallas Cowboys,NFC,East
Will,Grier,QB,6-1,220.0,31 1/2,9 1/2,Philadelphia Eagles,NFC,East
Will,Levis,QB,6-4,229.0,32,10 3/4,Tennessee Titans,AFC,South
Zach,Wilson,QB,6-2,214.0,30 3/4,9 1/2,Denver Broncos,AFC,West
