First Name,Last Name,Position,Height,Weight,Arms,Hands,Team,Conference,Division
Easop,Winston,WR,5-11,199.0,,,New York Jets,AFC,East
Elijah,Moore,WR,5-10,180.0,30 1/4,9 1/2,Cleveland Browns,AFC,North
Elijah,Cooks,WR,6-4,215.0,,,Jacksonville Jaguars,AFC,South
Erik,Ezukanma,WR,6-2,206.0,33 1/2,9 1/2,Miami Dolphins,AFC,East
Ethan,Fernea,WR,6-0,195.0,,,Indianapolis Colts,AFC,South
Gabe,Davis,WR,6-2,225.0,32 1/4,9 1/4,Jacksonville Jaguars,AFC,South
Garrett,Wilson,WR,6-0,183.0,32,10,New York Jets,AFC,East
George,Pickens,WR,6-3,200.0,32 1/2,8 3/4,Pittsburgh Steelers,AFC,North
Grant,DuBose,WR,6-2,201.0,32,9 1/2,Miami Dolphins,AFC,East
Greg,Dortch,WR,5-7,175.0,29 1/4,9 1/4,Arizona Cardinals,NFC,West
Griffin,Hebert,WR,6-1,231.0,,,Philadelphia Eagles,NFC,East
Gunner,Olszewski,WR,6-0,190.0,,,New York Giants,NFC,East
Ihmir,Smith-Marsette,WR,6-1,185.0,30 3/4,9 3/4,New York Giants,NFC,East
Irvin,Charles,WR,6-4,219.0,,,New York Jets,AFC,East
Isaiah,McKenzie,WR,5-8,173.0,29,9,Miami Dolphins,AFC,East
Isaiah,Hodgins,WR,6-3,201.0,33 1/4,10,New York Giants,NFC,East
Jacob,Harris,WR,6-5,211.0,,,Philadelphia Eagles,NFC,East
Jacob,Cowing,WR,5-9,170.0,29 1/4,9,San Francisco 49ers,NFC,NFC
Jaelen,Gill,WR,6-0,185.0,,,Cleveland Browns,AFC,North
Jaelon,Darden,WR,5-8,175.0,30 3/4,8 3/4,Cleveland Browns,AFC,North
Jaelon,Darden,WR,5-8,175.0,30 3/4,8 3/4,Seattle Seahawks,NFC,West
Jahan,Dotson,WR,5-11,184.0,30 3/4,9 1/2,Philadelphia Eagles,NFC,East
Jake,Bobo,WR,6-4,211.0,32 1/4,10,Seattle Seahawks,NFC,West
Jakobi,Meyers,WR,6-2,200.0,32,9 1/2,Las Vegas Raiders,AFC,West
Jalen,Virgil,WR,6-1,210.0,,,Buffalo Bills,AFC,East
Jalen,Coker,WR,6-3,213.0,33,10,Carolina Panthers,NFC,South
Jalen,Brooks,WR,6-2,205.0,34 1/4,9 1/2,Dallas Cowboys,NFC,East
Jalen,Moreno-Cropper,WR,5-11,180.0,30 1/4,9,Dallas Cowboys,NFC,East
Jalen,Tolbert,WR,6-1,195.0,32 1/4,10,Dallas Cowboys,NFC,East
Jalen,Wayne,WR,6-2,210.0,32 1/4,9 1/2,Green Bay Packers,NFC,North
Jalen,Guyton,WR,6-1,212.0,,,Las Vegas Raiders,AFC,West
Jalen,Reagor,WR,5-11,197.0,31 1/2,9 1/2,Los Angeles Chargers,AFC,West
Jalen,Nailor,WR,6-0,190.0,30 1/4,9 1/4,Minnesota Vikings,NFC,North
Jalen,Reagor,WR,5-11,197.0,31 1/2,9 1/2,New England Patriots,AFC,East
Jalen,McMillan,WR,6-1,192.0,32 1/4,10,Tampa Bay Buccaneers,NFC,South
Jalin,Hyatt,WR,6-0,185.0,32 1/2,9,New York Giants,NFC,East
Jamal,Agnew,WR,5-10,190.0,,,Pittsburgh Steelers,AFC,North
Jamari,Thrash,WR,6-0,190.0,31,8 3/4,Cleveland Browns,AFC,North
James,Proche,WR,5-11,193.0,29 3/4,9 3/4,Cleveland Browns,AFC,North
Jameson,Williams,WR,6-1,180.0,32 1/4,9 1/4,Detroit Lions,NFC,North
Jamison,Crowder,WR,5-9,177.0,30 1/2,8 3/4,Washington Commanders,NFC,East
JaQuae,Jackson,WR,6-1,184.0,,,New England Patriots,AFC,East
Jaray,Jenkins,WR,6-2,200.0,31 3/4,10,Pittsburgh Steelers,AFC,North
Jared,Wayne,WR,6-3,210.0,,,Houston Texans,AFC,South
Jason,Brownlee,WR,6-3,202.0,33 3/4,9 3/4,New York Jets,AFC,East
Jauan,Jennings,WR,6-3,212.0,31 3/4,9,San Francisco 49ers,NFC,NFC
Javon,Baker,WR,6-1,202.0,32 1/4,9 3/4,New England Patriots,AFC,East
Jaxon,Smith-Njigba,WR,6-0,197.0,30 1/2,9,Seattle Seahawks,NFC,West
Jayden,Reed,WR,5-11,187.0,30 1/2,9 1/4,Green Bay Packers,NFC,North
Jaylen,Waddle,WR,5-10,185.0,30 1/2,9 1/4,Miami Dolphins,AFC,East
Jeff,Foreman,WR,6-0,182.0,,,Las Vegas Raiders,AFC,West
Jermaine,Burton,WR,6-0,204.0,31,10,Cincinnati Bengals,AFC,North
Jermaine,Jackson,WR,5-7,170.0,,,New Orleans Saints,NFC,South
Jerry,Jeudy,WR,6-1,195.0,32 1/4,9 1/2,Cleveland Browns,AFC,North
Jeshaun,Jones,WR,6-1,188.0,,,Minnesota Vikings,NFC,North
Jesse,Matthews,WR,6-0,190.0,,,Atlanta Falcons,NFC,South
John,Jackson,WR,5-10,175.0,,,Chicago Bears,NFC,North
John,Jiles,WR,6-3,205.0,,,New England Patriots,AFC,East
John,Ross,WR,5-11,190.0,31 1/2,8 3/4,Philadelphia Eagles,NFC,East
Johnny,Johnson III,WR,6-1,199.0,30 1/2,9 3/4,Houston Texans,AFC,South
Johnny,Wilson,WR,6-3,203.0,,,Philadelphia Eagles,NFC,East
Jonathan,Mingo,WR,6-2,220.0,32 1/4,10 1/2,Carolina Panthers,NFC,South
Jonathan,Mingo,WR,6-2,220.0,32 1/4,10 1/2,Dallas Cowboys,NFC,East
Jordan,Whittington,WR,6-1,202.0,30 1/2,10,Los Angeles Rams,NFC,West
Jordan,Addison,WR,5-11,175.0,31,8 3/4,Minnesota Vikings,NFC,North
Josh,Reynolds,WR,6-3,194.0,31 1/2,9 1/2,Denver Broncos,AFC,West
Josh,Downs,WR,5-9,171.0,30 1/2,9 1/4,Indianapolis Colts,AFC,South
Josh,Reynolds,WR,6-3,194.0,31 1/2,9 1/2,Jacksonville Jaguars,AFC,South
Josh,Palmer,WR,6-1,210.0,33,9 3/4,Los Angeles Chargers,AFC,West
Joshua,Cephus,WR,6-3,185.0,,,Jacksonville Jaguars,AFC,South
JuJu,Smith-Schuster,WR,6-1,215.0,33,10 1/2,Kansas City Chiefs,AFC,West
Julian,Hicks,WR,6-2,201.0,,,Green Bay Packers,NFC,North
Justin,Watson,WR,6-2,215.0,,,Kansas City Chiefs,AFC,West
Justin,Jefferson,WR,6-1,195.0,33,9 1/4,Minnesota Vikings,NFC,North
Justyn,Ross,WR,6-4,210.0,32 1/4,9 3/4,Kansas City Chiefs,AFC,West
Juwann,Winfree,WR,6-1,210.0,,,Indianapolis Colts,AFC,South
Kadarius,Toney,WR,6-0,193.0,31 1/4,9 1/4,Cleveland Browns,AFC,North
Kaden,Davis,WR,6-1,190.0,,,Cleveland Browns,AFC,North
Kaden,Davis,WR,6-1,190.0,,,Denver Broncos,AFC,West
Kalif,Raymond,WR,5-8,180.0,,,Detroit Lions,NFC,North
Kameron,Johnson,WR,5-10,170.0,,,Tampa Bay Buccaneers,NFC,South
KaVontae,Turpin,WR,5-9,153.0,,,Dallas Cowboys,NFC,East
Kayshon,Boutte,WR,5-11,197.0,31 1/2,9 1/2,New England Patriots,AFC,East
Kazmeir,Allen,WR,5-8,176.0,,,Washington Commanders,NFC,East
Kearis,Jackson,WR,5-11,196.0,31 1/4,9 1/2,New York Giants,NFC,East
Keenan,Allen,WR,6-2,211.0,32 3/4,10,Chicago Bears,NFC,North
Keith,Kirkwood,WR,6-3,210.0,,,Baltimore Ravens,AFC,North
Kelvin,Harmon,WR,6-2,215.0,32 1/2,9 1/2,Dallas Cowboys,NFC,East
Kendric,Pryor,WR,5-11,189.0,,,Cincinnati Bengals,AFC,North
Kendrick,Bourne,WR,6-1,205.0,32 1/2,9 1/4,New England Patriots,AFC,East
Keon,Coleman,WR,6-4,215.0,32 1/4,9 1/2,Buffalo Bills,AFC,East
KhaDarel,Hodge,WR,6-2,208.0,,,Atlanta Falcons,NFC,South
Khalil,Shakir,WR,6-0,190.0,29,9 1/2,Buffalo Bills,AFC,East
Kristian,Wilkerson,WR,6-1,214.0,,,Las Vegas Raiders,AFC,West
Kyle,Philips,WR,5-11,189.0,29 3/4,8 3/4,Philadelphia Eagles,NFC,East
Ladd,McConkey,WR,6-0,185.0,30 1/4,8 3/4,Los Angeles Chargers,AFC,West
Lance,McCutcheon,WR,6-3,202.0,,,Pittsburgh Steelers,AFC,North
Laquon,Treadwell,WR,6-2,215.0,33 1/2,9 1/2,Indianapolis Colts,AFC,South
Lideatrick,Griffin,WR,5-10,180.0,30 3/4,9 1/4,Cleveland Browns,AFC,North
Lucky,Jackson,WR,6-0,186.0,,,Minnesota Vikings,NFC,North
Luke,McCaffrey,WR,6-2,198.0,30 1/4,9 3/4,Washington Commanders,NFC,East
Mack,Hollins,WR,6-4,221.0,33 1/4,9 3/4,Buffalo Bills,AFC,East
Malachi,Corley,WR,5-11,215.0,32 1/4,9 1/4,New York Jets,AFC,East
Malik,Cunningham,WR,6-1,186.0,31 1/2,9 1/2,Baltimore Ravens,AFC,North
Malik,Heath,WR,6-2,213.0,32 1/2,9 1/4,Green Bay Packers,NFC,North
Malik,Knowles,WR,6-2,196.0,32 1/4,8 3/4,Green Bay Packers,NFC,North
Malik,Washington,WR,5-8,191.0,30 1/2,9 1/4,Miami Dolphins,AFC,East
Malik,Nabers,WR,6-0,200.0,,,New York Giants,NFC,East
Malik,Taylor,WR,6-1,220.0,,,New York Jets,AFC,East
Malik,Turner,WR,6-2,202.0,,,San Francisco 49ers,NFC,NFC
Marcus,Harris,WR,6-1,187.0,,,Houston Texans,AFC,South
Marcus,Harris,WR,6-1,187.0,,,New England Patriots,AFC,East
Marcus,Rosemy-Jacksaint,WR,6-3,195.0,33,10,Philadelphia Eagles,NFC,East
Marcus,Simms,WR,6-0,197.0,,,Seattle Seahawks,NFC,West
Marquez,Valdes-Scantling,WR,6-4,206.0,32 1/4,10,Buffalo Bills,AFC,East
Marquez,Valdes-Scantling,WR,6-4,206.0,32 1/4,10,New Orleans Saints,NFC,South
Marquez,Callaway,WR,6-2,204.0,32 1/2,9 1/2,Tampa Bay Buccaneers,NFC,South
Marquise,Brown,WR,5-9,180.0,30 1/2,9,Kansas City Chiefs,AFC,West
Mason,Tipton,WR,5-11,187.0,,,New Orleans Saints,NFC,South
Mason,Kinsey,WR,5-11,200.0,,,Tennessee Titans,AFC,South
Matt,Landers,WR,6-4,200.0,32 1/2,9 1/4,New England Patriots,AFC,East
Mecole,Hardman,WR,5-10,187.0,30 1/4,9,Kansas City Chiefs,AFC,West
Michael,Wilson,WR,6-2,213.0,31,9 3/4,Arizona Cardinals,NFC,West
Michael,Bandy,WR,5-10,190.0,,,Denver Broncos,AFC,West
Mike,Williams,WR,6-4,218.0,33 1/2,9 1/2,New York Jets,AFC,East
Mike,Williams,WR,6-4,218.0,33 1/2,9 1/2,Pittsburgh Steelers,AFC,North
Mike,Evans,WR,6-5,231.0,35 1/4,9 3/4,Tampa Bay Buccaneers,NFC,South
Mike,Strachan,WR,6-5,225.0,34 1/4,10,Washington Commanders,NFC,East
Miles,Boykin,WR,6-4,220.0,33 1/2,10,Seattle Seahawks,NFC,West
Mitchell,Tinsley,WR,6-1,205.0,32 1/2,10,Washington Commanders,NFC,East
Montrell,Washington,WR,5-10,170.0,,,Kansas City Chiefs,AFC,West
Nelson,Agholor,WR,6-0,200.0,32 1/4,9 1/4,Baltimore Ravens,AFC,North
Nick,Westbrook-Ikhine,WR,6-2,211.0,,,Tennessee Titans,AFC,South
Nico,Collins,WR,6-4,222.0,34 1/4,9 1/2,Houston Texans,AFC,South
Nikko,Remigio,WR,5-9,187.0,,,Kansas City Chiefs,AFC,West
Noah,Brown,WR,6-2,225.0,31 3/4,9 1/4,Washington Commanders,NFC,East
Nsimba,Webster,WR,5-10,180.0,,,Chicago Bears,NFC,North
Olamide,Zaccheaus,WR,5-8,193.0,,,Washington Commanders,NFC,East
Parker,Washington,WR,5-10,204.0,29,10 1/4,Jacksonville Jaguars,AFC,South
Parris,Campbell,WR,6-1,205.0,32 1/4,9 1/2,Philadelphia Eagles,NFC,East
Phillip,Dorsett,WR,5-10,192.0,30 1/4,9 1/2,Atlanta Falcons,NFC,South
Praise,Olatoke,WR,6-2,197.0,,,Carolina Panthers,NFC,South
Puka,Nacua,WR,6-2,212.0,31 1/2,9 1/2,Los Angeles Rams,NFC,West
Qadir,Ismail,WR,6-6,232.0,,,Baltimore Ravens,AFC,North
Quentin,Johnston,WR,6-4,215.0,33 3/4,9 3/4,Los Angeles Chargers,AFC,West
Quez,Watkins,WR,6-0,193.0,33,9,Pittsburgh Steelers,AFC,North
Quintez,Cephus,WR,6-1,208.0,32 1/4,8 3/4,Los Angeles Rams,NFC,West
Rakim,Jarrett,WR,6-0,192.0,31 1/2,9 1/2,Tampa Bay Buccaneers,NFC,South
Ramel,Keyton,WR,6-2,191.0,,,Las Vegas Raiders,AFC,West
Rashee,Rice,WR,6-1,203.0,32 3/4,9 1/2,Kansas City Chiefs,AFC,West
Rashid,Shaheed,WR,6-0,180.0,,,New Orleans Saints,NFC,South
Rashod,Bateman,WR,6-1,195.0,33,9 1/2,Baltimore Ravens,AFC,North
Ray-Ray,McCloud,WR,5-9,190.0,30 1/4,9 1/4,Atlanta Falcons,NFC,South
Ricky,Pearsall,WR,6-1,192.0,31,9 1/4,San Francisco 49ers,NFC,NFC
River,Cracraft,WR,6-0,198.0,,,Miami Dolphins,AFC,East
Robbie,Chosen,WR,6-3,190.0,,,Miami Dolphins,AFC,East
Robert,Woods,WR,6-0,193.0,31,9 1/4,Houston Texans,AFC,South
Roman,Wilson,WR,5-10,186.0,30 1/2,9 1/2,Pittsburgh Steelers,AFC,North
Rome,Odunze,WR,6-3,215.0,32 1/4,9 1/4,Chicago Bears,NFC,North
Romeo,Doubs,WR,6-2,204.0,32 1/4,10,Green Bay Packers,NFC,North
Rondale,Moore,WR,5-7,180.0,28 1/4,8 3/4,Atlanta Falcons,NFC,South
Ronnie,Bell,WR,6-0,190.0,31,9 1/2,San Francisco 49ers,NFC,NFC
Russell,Gage,WR,6-0,184.0,,,San Francisco 49ers,NFC,NFC
Ryan,Flournoy,WR,6-1,200.0,31 3/4,10 1/4,Dallas Cowboys,NFC,East
Sam,Pinckney,WR,6-4,200.0,,,Carolina Panthers,NFC,South
Samori,Toure,WR,6-1,191.0,,,Chicago Bears,NFC,North
Scott,Miller,WR,5-9,174.0,,,Pittsburgh Steelers,AFC,North
Shaquan,Davis,WR,6-5,215.0,,,Pittsburgh Steelers,AFC,North
Shedrick,Jackson,WR,6-1,195.0,,,Cincinnati Bengals,AFC,North
